Year,bad,good,GV-3M-CNN,GV-3M,GV-6M-CNN,GV-6M,I_GV-3M-CNN,I_GV-3M,I_GV-6M-CNN,I_GV-6M
2001,-0.880984275828977,4.87704406,-0.2055294690466735,-0.1848572809758862,-0.08820788662844059,-0.1740203149900421,0.11730661389408724,0.1208967643527357,0.13768191869906823,0.12277882629369763
2002,-0.828219457842627,2.24078599,-0.2484253136220316,-0.2993517769229215,-0.3383786239764072,-0.3208236446535668,0.18891922939666486,0.1723254291684219,0.1596089815384837,0.16532906891570903
2003,-0.3903709040124377,1.6362008,0.1820672885712671,0.1817167182745363,0.1642491147143781,0.1542078099645894,0.2824662909534987,0.2822933040830925,0.27367401687722964,0.2687191935517545
2004,-0.3216117975671685,0.75659599,0.03162957290913537,0.03311940807377289,0.05583725893206881,0.07126131602345165,0.3276190123550728,0.3290007823458082,0.3500707941934834,0.36437606750836565
2005,-0.29906818265244783,0.54481196,0.02919941788277747,0.005727045749406967,0.00611186954478371,-0.02453680023366467,0.3889978966721846,0.3611830792034465,0.36163909632711905,0.32532034887784883
2006,-0.15848578571318162,0.57485052,0.1267517741793414,0.1402514648363811,0.1649250276964047,0.1616962779175741,0.38895873239921586,0.40736732686244925,0.4410129580248505,0.4366101352630747
2007,-0.28769760046871984,0.57666696,0.02578000813034653,0.0467328187093059,0.09324035897418281,0.06556414793544385,0.3626682801861712,0.3869089901102306,0.4407144587653282,0.40869531741629955
2008,-0.7446466279959951,0.56222419,-0.366147078260008,-0.4245887898476153,-0.4377954045994009,-0.3506046417915365,0.2896227725984368,0.2449039597036596,0.23479843544684195,0.3015156362651799
2009,-0.3284846512051385,1.38896313,0.2728368752364023,0.2938802684147825,0.2792939982688962,0.2158288926872229,0.35012507106305824,0.36237778314471114,0.35388479121476085,0.3169316411532553
2010,-0.2430194408441113,0.77341861,0.0904782819383847,0.0981733359203174,0.05351904393431295,0.1522141809325503,0.3281043271702977,0.33567493511393215,0.2917428017695332,0.38884182016644875
2011,-0.3744130421049805,0.66067032,0.04319437700122597,-0.005551859377564305,-0.01336085648821672,-0.02508348020110562,0.4034529337395067,0.35635891391132757,0.34881459680939697,0.3374893024977877
2012,-0.273174683149807,0.84148496,0.1001913213079892,0.07869328347712878,0.1261350354600366,0.1021675623640204,0.33495965046580317,0.3156730117478971,0.3582346602963695,0.3367326051683227
2013,-0.015908416616617682,0.77542707,0.2692454102412327,0.3124259817947048,0.314753523384927,0.3138699959403746,0.3603450517264624,0.4149117586210213,0.4178530415908697,0.4167365398548868
2014,-0.1815675523422673,0.5734415,0.1891091914584491,0.1439512392154982,0.1377912550172031,0.1452972332325453,0.490956688069851,0.43114554792145526,0.42298672627662204,0.4329283000790239
2015,-0.3149240578759457,0.48502762,-0.001393832312677645,-4.616487643716027e-05,0.01528202995827144,0.04507995335052861,0.3919364559566427,0.393621142011454,0.41278254295433153,0.4500321971726681
2016,-0.2598188654846483,0.68979991,0.1267542428780042,0.1342004397852994,0.05741316142022979,0.07832028122853174,0.4070824191164088,0.4149236677306171,0.33406250496992884,0.35607883441500726
2017,-0.14262823978014982,0.71257385,0.1521703764897526,0.199100364033636,0.2078903287698493,0.2188360705247787,0.344712226259512,0.3995881299841484,0.409866361107827,0.422665373043992
2018,-0.4554950986680253,0.66898118,-0.02565524502641303,-0.02975972888052691,-0.004184581290971323,-0.02956361424967024,0.38225782241557826,0.37860769307805614,0.40135174564255316,0.37878209838528853
2019,-0.06578562920618514,0.84462162,0.2697708327314019,0.2511085935561324,0.3035730860552384,0.2370987260483806,0.36857841612110415,0.3480796347333881,0.4057071333554076,0.3326910627289719
2020,-0.5669117749767403,2.12421833,0.3083857939548771,0.3667100523421101,0.2864745648661886,0.2902814141715142,0.32525278778343664,0.3469255632019767,0.3171107700310553,0.31852536135768256
2021,-0.477249706229649,2.15442805,0.3368633522155253,0.1736458954718154,0.2369764517339388,0.239333850691952,0.3093513468805305,0.24733104201708545,0.2713957498302699,0.2722915278002105
2022,-0.7051175432465214,1.2675728,-0.2503845572965908,-0.2514973943847202,-0.1786027276860958,-0.3009619128742815,0.23051412377350697,0.22995000224681164,0.2669019075208341,0.20487535296954296
2023,-0.14575212013939332,0.85998406,0.2833242242655691,0.2667489269661802,0.2336108076231567,0.2516680058814853,0.4266291229032778,0.41014836221602524,0.3771992449451017,0.3951534546224606
