Year,1 wd,1 ld,3 wd,3 ld,5 wd,5 ld,7 wd,7 ld,9 wd,9 ld
2006,0.0992538326202149,0.1061435767654361,0.0985533275400216,0.106676704685166,0.0984458713042829,0.1069338245377775,0.0990836666858616,0.1063407589385545,0.1006452950643201,0.1048675374008378
2007,0.1540362815288731,0.1586629941071405,0.1568762566194533,0.1558781148250668,0.1558964066083569,0.1568766299721242,0.1544825957740585,0.1581737382439213,0.1566839965416319,0.1560177042673141
2008,0.384490470984356,0.3990422557898659,0.3839191865581352,0.3993791053645103,0.3992716835820165,0.384004749521321,0.3953727913299399,0.3882687999429416,0.3942552249719372,0.3892520605993418
2009,0.2643696399605507,0.2686592905232901,0.2680447571723039,0.265031335247452,0.2620384265463437,0.2709537768170205,0.262605687507729,0.2704115883398174,0.2635108709998127,0.2695552055612176
2010,0.1858750785699941,0.1805777082155207,0.1848072197038162,0.1816535237458195,0.182920475426747,0.1835703956329153,0.1810608007678782,0.1854739064466514,0.1822470436676098,0.1843051321117732
2011,0.2307306273265674,0.2220487701540745,0.2291820592698677,0.2236434838906427,0.22781877107662,0.2250668099743901,0.228394065292891,0.2245301819926402,0.2276947500842099,0.2252063824975652
2012,0.1284988510894706,0.1307405700537806,0.1285773827229227,0.1311888002886961,0.1275886478039158,0.1321771769760298,0.1295122548668539,0.1304799969497685,0.1291144463614936,0.1309070654558669
2013,0.1055866973676678,0.1076808851131822,0.1082107175599695,0.1050993481921018,0.1066965663012762,0.106679181786397,0.1068762618157572,0.1065183601914825,0.1054459556054152,0.107908873864793
2014,0.1133649695298892,0.1126629098603486,0.1155586481353539,0.1103739291126932,0.1122846560401766,0.1137675837563784,0.1130379091325592,0.1130171519419205,0.1137465024772904,0.112308546665465
2015,0.1548961391646388,0.1567005805456686,0.1530285861109397,0.1585543810130349,0.150705185619364,0.1607594690510279,0.1529294142203034,0.1586270825218487,0.153042048991103,0.158518925986831
2016,0.1283086203035751,0.1380981217490925,0.1323847131879568,0.1341941802617126,0.1340082160165514,0.1325755509971048,0.1347935186322343,0.1317360423134517,0.1332008959169996,0.1333643669590178
2017,0.0723157778067756,0.0717937979947123,0.0689449668906248,0.0750363971354223,0.0706110407076931,0.0734673265133132,0.0721444281192679,0.0719659612167871,0.0715569824102075,0.0725481029286262
2018,0.1778006970841756,0.1707003103296826,0.1742592846511119,0.1742635984865114,0.1735757382852688,0.1749980146416501,0.1701730802978098,0.1783038754356406,0.1760421726608531,0.1724237137620462
2019,0.1266265600905909,0.1301949746003522,0.125251317441927,0.1315409481696867,0.1250534883518095,0.1317240726467281,0.1275145947858139,0.1293646250310143,0.1261411566722241,0.1307213485929583
2020,0.3464326873888282,0.3531853337984498,0.3442625210477479,0.3552442082295098,0.3434377500484011,0.3561384616683197,0.3434006263505587,0.3561506320350295,0.3441515668827612,0.3554937957307448
2021,0.1408122889107568,0.1531052215429792,0.1394476222036724,0.1545300993309294,0.1368869703416456,0.1562202584269828,0.1396854156376017,0.153593169148345,0.1353939026742447,0.1574355486706443
2022,0.2485132474815424,0.2629878244170247,0.243842714679154,0.2671904158200359,0.2384891249182866,0.2721361776201825,0.2297598725639746,0.279576974881925,0.2367733263709653,0.2736482620524418
2023,0.1310562374808691,0.1353562144518639,0.1273539929307464,0.1387474467678628,0.1311185141068916,0.1352638871021993,0.1323361620114529,0.1339912823780307,0.1334043032724448,0.1329444940175995
