Year,tp(gv-1l),fp(gv-1l),tn(gv-1l),fn(gv-1l),tp(mc-1l),fp(mc-1l),tn(mc-1l),fn(mc-1l),TPR(gv-1l),TNR(gv-1l),PPV(gv-1l),NPV(gv-1l),TPR(mc-1l),TNR(mc-1l),PPV(mc-1l),NPV(mc-1l),Accuracy(gv-1l),Accuracy(mc-1l)
2001,67,60,67,54,64,59,64,61,0.5537190082644629,0.5275590551181102,0.5275590551181102,0.5537190082644629,0.512,0.5203252032520326,0.5203252032520326,0.512,0.5403225806451613,0.5161290322580645
2002,81,54,80,37,73,60,72,47,0.6864406779661016,0.5970149253731343,0.6,0.6837606837606838,0.6083333333333333,0.5454545454545454,0.5488721804511278,0.6050420168067226,0.6388888888888888,0.5753968253968254
2003,73,52,73,54,66,42,66,78,0.5748031496062992,0.584,0.584,0.5748031496062992,0.4583333333333333,0.6111111111111112,0.6111111111111112,0.4583333333333333,0.5793650793650794,0.5238095238095238
2004,70,61,71,50,60,46,61,85,0.5833333333333334,0.5378787878787878,0.5343511450381679,0.5867768595041323,0.41379310344827586,0.5700934579439252,0.5660377358490566,0.4178082191780822,0.5595238095238095,0.4801587301587302
2005,66,65,66,55,65,47,65,75,0.5454545454545454,0.5038167938931297,0.5038167938931297,0.5454545454545454,0.4642857142857143,0.5803571428571429,0.5803571428571429,0.4642857142857143,0.5238095238095238,0.5158730158730159
2006,67,76,66,42,58,52,58,83,0.6146788990825688,0.4647887323943662,0.46853146853146854,0.6111111111111112,0.41134751773049644,0.5272727272727272,0.5272727272727272,0.41134751773049644,0.5298804780876494,0.46215139442231074
2007,71,42,71,67,71,41,71,68,0.5144927536231884,0.6283185840707964,0.6283185840707964,0.5144927536231884,0.5107913669064749,0.6339285714285714,0.6339285714285714,0.5107913669064749,0.5657370517928287,0.5657370517928287
2008,66,61,67,59,63,65,62,63,0.528,0.5234375,0.5196850393700787,0.5317460317460317,0.5,0.4881889763779528,0.4921875,0.496,0.525691699604743,0.49407114624505927
2009,67,40,67,78,62,48,63,79,0.46206896551724136,0.6261682242990654,0.6261682242990654,0.46206896551724136,0.4397163120567376,0.5675675675675675,0.5636363636363636,0.44366197183098594,0.5317460317460317,0.49603174603174605
2010,68,59,68,57,63,43,62,84,0.544,0.5354330708661418,0.5354330708661418,0.544,0.42857142857142855,0.5904761904761905,0.5943396226415094,0.4246575342465753,0.5396825396825397,0.49603174603174605
2011,70,56,69,57,59,56,60,77,0.5511811023622047,0.552,0.5555555555555556,0.5476190476190477,0.4338235294117647,0.5172413793103449,0.5130434782608696,0.43795620437956206,0.5515873015873016,0.4722222222222222
2012,75,59,75,41,57,55,56,82,0.646551724137931,0.5597014925373134,0.5597014925373134,0.646551724137931,0.41007194244604317,0.5045045045045045,0.5089285714285714,0.4057971014492754,0.6,0.452
2013,70,49,70,63,64,39,64,85,0.5263157894736842,0.5882352941176471,0.5882352941176471,0.5263157894736842,0.42953020134228187,0.6213592233009708,0.6213592233009708,0.42953020134228187,0.5555555555555556,0.5079365079365079
2014,66,46,66,74,65,37,66,84,0.4714285714285714,0.5892857142857143,0.5892857142857143,0.4714285714285714,0.436241610738255,0.6407766990291263,0.6372549019607843,0.44,0.5238095238095238,0.5198412698412699
2015,66,48,67,71,66,65,66,55,0.48175182481751827,0.5826086956521739,0.5789473684210527,0.4855072463768116,0.5454545454545454,0.5038167938931297,0.5038167938931297,0.5454545454545454,0.5277777777777778,0.5238095238095238
2016,63,60,63,66,74,40,74,64,0.4883720930232558,0.5121951219512195,0.5121951219512195,0.4883720930232558,0.5362318840579711,0.6491228070175439,0.6491228070175439,0.5362318840579711,0.5,0.5873015873015873
2017,66,40,66,79,67,40,67,77,0.45517241379310347,0.6226415094339622,0.6226415094339622,0.45517241379310347,0.4652777777777778,0.6261682242990654,0.6261682242990654,0.4652777777777778,0.5258964143426295,0.5338645418326693
2018,60,48,59,84,60,57,59,75,0.4166666666666667,0.5514018691588785,0.5555555555555556,0.4125874125874126,0.4444444444444444,0.5086206896551724,0.5128205128205128,0.44029850746268656,0.47410358565737054,0.47410358565737054
2019,58,70,59,65,57,45,57,93,0.4715447154471545,0.4573643410852713,0.453125,0.47580645161290325,0.38,0.5588235294117647,0.5588235294117647,0.38,0.4642857142857143,0.4523809523809524
2020,57,46,57,93,72,35,72,74,0.38,0.5533980582524272,0.5533980582524272,0.38,0.4931506849315068,0.6728971962616822,0.6728971962616822,0.4931506849315068,0.4505928853754941,0.5691699604743083
2021,59,68,59,66,63,42,64,83,0.472,0.4645669291338583,0.4645669291338583,0.472,0.4315068493150685,0.6037735849056604,0.6,0.43537414965986393,0.46825396825396826,0.503968253968254
2022,64,75,63,49,61,80,61,49,0.5663716814159292,0.45652173913043476,0.460431654676259,0.5625,0.5545454545454546,0.4326241134751773,0.4326241134751773,0.5545454545454546,0.5059760956175299,0.4860557768924303
2023,62,45,63,80,63,46,63,78,0.43661971830985913,0.5833333333333334,0.5794392523364486,0.4405594405594406,0.44680851063829785,0.5779816513761468,0.5779816513761468,0.44680851063829785,0.5,0.504
