Year,Growth,Value,SPY,Cash,R(Growth),R(Value),R(SPY),R(Cash),prevalence_growth,prevalence_spy
2001,121.0,127.0,125.0,123.0,0.01542433,-0.00037457,0.010119347,-0.011105954,0.4879032258064516,0.5040322580645161
2002,118.0,134.0,120.0,132.0,0.011147419,-0.000724691,0.012598348,-0.01303133,0.46825396825396826,0.47619047619047616
2003,127.0,125.0,144.0,108.0,0.00502174,0.002780857,0.007968635,-0.008199016,0.503968253968254,0.5714285714285714
2004,120.0,132.0,145.0,107.0,0.002601329,0.001947908,0.005152853,-0.005974934,0.47619047619047616,0.5753968253968254
2005,121.0,131.0,140.0,112.0,0.002447596,0.001098551,0.004818971,-0.005555283,0.4801587301587302,0.5555555555555556
2006,109.0,142.0,141.0,110.0,0.002935999,0.000983084,0.004718935,-0.004666131,0.4342629482071713,0.5617529880478087
2007,138.0,113.0,139.0,112.0,2.42e-05,0.004104831,0.006726385,-0.007787413,0.549800796812749,0.5537848605577689
2008,125.0,128.0,126.0,127.0,-0.003099035,0.007092414,0.015555313,-0.018374443,0.49407114624505927,0.4980237154150198
2009,145.0,107.0,141.0,111.0,0.0019417,0.005848286,0.011709456,-0.012448097,0.5753968253968254,0.5595238095238095
2010,125.0,127.0,147.0,105.0,0.003538194,0.001157983,0.007313867,-0.00875074,0.49603174603174605,0.5833333333333334
2011,127.0,125.0,136.0,116.0,-0.000688259,0.004962843,0.009700609,-0.010982803,0.503968253968254,0.5396825396825397
2012,116.0,134.0,139.0,111.0,0.000476329,0.004209364,0.00590194,-0.005981806,0.464,0.556
2013,133.0,119.0,149.0,103.0,0.002696267,0.001861793,0.005531738,-0.005223321,0.5277777777777778,0.5912698412698413
2014,140.0,112.0,149.0,103.0,0.0035161,-0.000290044,0.004868509,-0.005754903,0.5555555555555556,0.5912698412698413
2015,137.0,115.0,121.0,131.0,0.00176603,0.001442177,0.007526042,-0.006767213,0.5436507936507936,0.4801587301587302
2016,129.0,123.0,138.0,114.0,0.002075429,0.002159973,0.005726195,-0.005862878,0.5119047619047619,0.5476190476190477
2017,145.0,106.0,144.0,107.0,0.001721617,0.002747025,0.003349496,-0.002650098,0.5776892430278885,0.5737051792828686
2018,144.0,107.0,135.0,116.0,0.005113091,-0.001957958,0.006762282,-0.008148494,0.5737051792828686,0.5378486055776892
2019,123.0,129.0,150.0,102.0,0.002264439,0.002655965,0.005706362,-0.005649614,0.4880952380952381,0.5952380952380952
2020,150.0,103.0,146.0,107.0,0.004034637,0.005789416,0.0122664,-0.014637409,0.5928853754940712,0.5770750988142292
2021,125.0,127.0,146.0,106.0,0.006282575,0.00295356,0.006309219,-0.006227101,0.49603174603174605,0.5793650793650794
2022,113.0,138.0,110.0,141.0,0.012651912,-0.004202287,0.012905625,-0.011283413,0.450199203187251,0.43824701195219123
2023,142.0,108.0,141.0,109.0,0.002375573,0.002708444,0.006601768,-0.006328395,0.568,0.564
$\max$,150.0,142.0,150.0,141.0,0.01542433,0.007092414,0.015555313,-0.002650098,0.5136986301369864,0.5154639175257731
$\min$,109.0,103.0,110.0,102.0,-0.003099035,-0.004202287,0.003349496,-0.018374443,0.5141509433962265,0.5188679245283019
$M$,127.0,125.0,141.0,111.0,0.002601329,0.002159973,0.006726385,-0.006767213,0.503968253968254,0.5595238095238095
$\mu$ ,129.2608696,122.2608696,137.9130435,113.6086957,0.003750835,0.002128475,0.007819056,-0.008321339,0.5139152981811125,0.548314606676352
$\sigma$,11.43049109,11.29045209,10.59979864,10.3955372,0.004234817,0.002621383,0.003239662,0.003745242,0.5030817162582245,0.5048644480268528
